item_id,order_id,product_id,quantity,unit_price,discount_percent
I00001,O00804,P0091,5,123.76,0
I00002,O00874,P0177,5,159.91,15
I00003,O00052,P0113,1,207.38,20
I00004,O00626,P0157,1,736.23,0
I00005,O00520,P0027,1,909.93,0
I00006,O00161,P0187,4,590.38,5
I00007,O00751,P0026,3,774.71,0
I00008,O00126,P0052,4,199.01,0
I00009,O00252,P0122,5,511.97,0
I00010,O00382,P0184,3,973.74,0
I00011,O00156,P0193,4,520.76,0
I00012,O00822,P0110,4,287.84,20
I00013,O00529,P0175,1,693.61,20
I00014,O00011,P0184,1,632.12,0
I00015,O00412,P0198,1,610.64,0
I00016,O00677,P0165,5,535.74,15
I00017,O00731,P0170,3,623.49,15
I00018,O00718,P0142,3,725.22,0
I00019,O00847,P0072,5,565.35,15
I00020,O00414,P0115,5,143.07,10
I00021,O00668,P0114,4,1039.12,0
I00022,O00087,P0010,4,315.18,15
I00023,O00901,P0033,5,330.09,0
I00024,O00524,P0142,3,664.99,0
I00025,O00024,P0008,5,305.19,0
I00026,O00853,P0199,4,844.68,0
I00027,O00750,P0016,3,337.73,0
I00028,O00127,P0013,1,451.51,10
I00029,O00755,P0002,2,226.9,10
I00030,O00580,P0183,5,1088.95,0
I00031,O00359,P0077,5,102.82,15
I00032,O00387,P0134,1,57.19,10
I00033,O00198,P0200,1,386.84,5
I00034,O00849,P0106,1,264.68,0
I00035,O00488,P0055,3,743.24,5
I00036,O00603,P0144,4,1059.42,10
I00037,O00511,P0163,4,595.52,5
I00038,O00750,P0107,2,596.58,5
I00039,O00729,P0118,5,696.51,0
I00040,O00712,P0055,1,775.61,10
I00041,O00379,P0031,4,104.71,0
I00042,O00586,P0075,2,489.76,0
I00043,O00384,P0078,1,248.48,0
I00044,O00803,P0151,3,494.48,0
I00045,O00188,P0190,1,51.48,0
I00046,O00892,P0012,5,461.5,5
I00047,O00922,P0087,4,671.57,20
I00048,O00621,P0034,5,1008.2,20
I00049,O00461,P0171,3,75.99,10
I00050,O00681,P0160,2,1097.84,0
I00051,O00554,P0012,4,621.06,15
I00052,O00091,P0043,5,753.02,20
I00053,O00725,P0080,1,864.44,0
I00054,O00198,P0159,1,849.9,10
I00055,O00194,P0193,1,317.69,10
I00056,O00185,P0005,2,588.65,15
I00057,O00860,P0149,5,879.08,5
I00058,O00604,P0012,1,472.83,0
I00059,O00425,P0007,3,535.23,0
I00060,O00118,P0026,3,657.32,0
I00061,O00787,P0023,4,752.07,0
I00062,O00630,P0084,1,258.23,0
I00063,O00328,P0037,3,40.76,20
I00064,O00922,P0031,2,169.74,10
I00065,O00243,P0127,5,59.23,0
I00066,O00276,P0016,5,289.81,5
I00067,O00030,P0105,1,568.66,10
I00068,O00692,P0026,5,969.94,0
I00069,O00312,P0146,1,803.54,10
I00070,O00209,P0037,2,58.85,10
I00071,O00976,P0109,5,431.34,0
I00072,O00833,P0119,5,290.11,0
I00073,O00001,P0016,4,260.67,0
I00074,O00860,P0175,3,896.7,0
I00075,O00600,P0131,2,588.16,10
I00076,O00072,P0077,1,113.0,15
I00077,O00570,P0072,2,470.29,20
I00078,O00326,P0175,3,966.38,15
I00079,O00464,P0070,3,709.34,5
I00080,O00983,P0154,2,670.47,0
I00081,O00624,P0122,-1,746.56,5
I00082,O00570,P0179,4,241.36,20
I00083,O00898,P0167,5,224.64,20
I00084,O00836,P0172,1,633.48,20
I00085,O00386,P0154,2,752.79,20
I00086,O00714,P0003,3,991.94,5
I00087,O00010,P0057,3,520.22,15
I00088,O00367,P0050,5,711.53,20
I00089,O00736,P0057,4,613.24,0
I00090,O00288,P0127,5,51.26,0
I00091,O00841,P0164,3,720.01,5
I00092,O00175,P0142,5,631.4,10
I00093,O00579,P0045,2,568.57,0
I00094,O00266,P0146,5,750.23,0
I00095,O00197,P0174,-5,102.08,15
I00096,O00574,P0117,-4,817.35,15
I00097,O00054,P0083,4,122.52,15
I00098,O00531,P0120,5,988.25,15
I00099,O00230,P0013,4,479.05,0
I00100,O00006,P0101,1,844.1,20
I00101,O00026,P0189,4,808.13,0
I00102,O00202,P0043,1,751.02,0
I00103,O00029,P0123,1,444.32,15
I00104,O00958,P0086,2,17.74,0
I00105,O00982,P0088,3,618.04,0
I00106,O00967,P0019,5,434.91,0
I00107,O00641,P0115,1,175.44,0
I00108,O00387,P0081,1,809.63,0
I00109,O00942,P0114,5,947.83,0
I00110,O00105,P0174,1,80.86,5
I00111,O00412,P0025,4,609.14,10
I00112,O00807,P0169,4,256.92,20
I00113,O00439,P0159,3,711.42,15
I00114,O00802,P0007,3,619.63,0
I00115,O00106,P0004,1,179.1,20
I00116,O00199,P0147,5,426.65,5
I00117,O00493,P0186,2,620.33,20
I00118,O00046,P0016,5,296.08,15
I00119,O00773,P0092,5,679.4,0
I00120,O00481,P0080,3,712.69,0
I00121,O00531,P0151,2,267.52,10
I00122,O00839,P0144,4,747.69,0
I00123,O00656,P0052,3,130.82,5
I00124,O00712,P0178,5,322.12,20
I00125,O00593,P0145,5,157.46,0
I00126,O00167,P0027,1,719.75,0
I00127,O00655,P0058,4,988.63,0
I00128,O00493,P0189,3,743.47,5
I00129,O00211,P0103,1,826.8,0
I00130,O00367,P0008,2,244.39,0
I00131,O00647,P0150,3,455.8,0
I00132,O00204,P0051,2,1173.9,15
I00133,O00179,P0087,2,420.94,0
I00134,O00181,P0068,1,666.97,0
I00135,O00389,P0168,1,483.79,0
I00136,O00313,P0117,3,827.77,10
I00137,O00819,P0160,1,627.14,0
I00138,O00814,P0049,4,961.34,0
I00139,O00614,P0110,2,291.47,20
I00140,O00631,P0151,5,332.15,0
I00141,O00336,P0064,3,363.14,20
I00142,O00521,P0150,2,777.93,20
I00143,O00482,P0170,2,664.97,20
I00144,O00904,P0166,3,307.83,5
I00145,O00184,P0083,5,165.56,15
I00146,O00979,P0127,5,59.95,20
I00147,O00598,P0167,2,428.07,5
I00148,O00884,P0061,3,566.0,5
I00149,O00586,P0041,3,370.28,0
I00150,O00138,P0193,4,439.04,0
I00151,O00598,P0011,5,457.44,5
I00152,O00479,P0111,4,584.93,5
I00153,O00026,P0046,3,528.05,0
I00154,O00924,P0022,5,176.43,15
I00155,O00081,P0071,1,94.43,0
I00156,O00040,P0140,2,272.63,0
I00157,O00310,P0191,3,315.74,10
I00158,O00142,P0193,5,558.87,0
