order_id,customer_id,order_date,status,region_code
O00001,C0437,2026-06-14 10:14:37,SHIPPED,SA
O00002,C0191,2025-08-28 04:59:26,DELIVERED,NA
O00003,C0203,2026-06-15 04:28:10,DELIVERED,NA
O00004,C0211,2026-05-07 14:01:38,DELIVERED,NA
O00005,C0550,2025-10-08 10:38:00,DELIVERED,SA
O00006,C0502,2026-04-28 18:20:30,DELIVERED,AF
O00007,C0402,2026-03-22 21:48:52,DELIVERED,SA
O00008,C0305,2026-06-07 07:10:55,DELIVERED,OC
O00009,C0121,2026-03-03 07:19:47,SHIPPED,AS
O00010,C0524,2026-07-08 01:08:47,DELIVERED,AF
O00011,C0191,2025-07-16 20:02:52,DELIVERED,OC
O00012,C0178,2026-03-15 13:43:39,DELIVERED,EU
O00013,C0462,2026-05-10 07:32:18,DELIVERED,NA
O00014,C0200,2026-03-14 21:56:35,RETURNED,AF
O00015,C0419,2025-12-07 22:30:30,DELIVERED,SA
O00016,C0085,2025-08-02 09:58:50,DELIVERED,EU
O00017,C0282,2025-11-07 18:15:31,SHIPPED,SA
O00018,C0508,2026-02-01 01:04:43,SHIPPED,NA
O00019,C0557,2025-07-28 09:19:05,DELIVERED,NA
O00020,C0452,2025-11-13 09:43:03,RETURNED,NA
O00021,C0254,2026-02-07 01:58:53,RETURNED,SA
O00022,C0090,2026-02-16 18:50:29,RETURNED,EU
O00023,C0360,2025-09-08 11:39:30,DELIVERED,SA
O00024,C0143,2025-11-16 07:45:47,DELIVERED,NA
O00025,C0546,2026-01-23 12:11:38,DELIVERED,AS
O00026,C0300,2026-04-09 09:08:48,SHIPPED,AF
O00027,C0098,2025-10-06 03:27:01,DELIVERED,SA
O00028,C0284,2025-09-09 21:22:32,SHIPPED,EU
O00029,C0330,2025-08-01 00:21:01,DELIVERED,OC
O00030,C0146,2026-03-31 00:12:25,SHIPPED,SA
O00031,C0078,2026-04-22 12:16:41,DELIVERED,NA
O00032,C0285,2025-12-11 23:24:13,DELIVERED,SA
O00033,C0336,2026-01-01 10:54:57,DELIVERED,OC
O00034,C0470,2026-04-30 18:27:03,DELIVERED,NA
O00035,C0408,2026-02-28 12:30:20,DELIVERED,EU
O00036,C0331,2026-02-20 19:14:07,DELIVERED,AF
O00037,C0497,2026-01-24 09:53:24,DELIVERED,NA
O00038,UNKNOWN,2025-08-16 09:06:20,DELIVERED,NA
O00039,C0162,2025-10-06 15:27:35,PLACED,SA
O00040,C0136,2025-12-27 03:24:14,DELIVERED,AS
O00041,C0370,2025-11-01 22:26:42,DELIVERED,OC
O00042,C0406,2026-05-13 18:57:19,DELIVERED,EU
O00043,C0094,2025-12-12 12:49:22,PLACED,SA
O00044,C0232,2025-09-07 21:02:50,DELIVERED,NA
O00045,C0124,2025-09-01 17:33:46,DELIVERED,EU
O00046,C0235,2025-11-19 22:47:10,DELIVERED,NA
O00047,C0377,2025-08-13 10:50:52,SHIPPED,EU
O00048,C0147,2026-01-13 00:00:00,DELIVERED,AF
O00049,C0451,2026-02-19 07:41:02,SHIPPED,OC
O00050,C0422,2026-04-27 20:18:40,DELIVERED,EU
O00051,C0103,2025-07-31 13:05:03,SHIPPED,OC
O00052,C0440,2026-02-10 06:37:20,SHIPPED,AS
O00053,C0255,2025-12-14 10:12:15,DELIVERED,AF
O00054,C0028,2025-10-22 08:41:21,DELIVERED,AS
O00055,C0522,2025-08-14 10:27:55,DELIVERED,OC
O00056,C0246,2025-12-14 04:00:46,SHIPPED,SA
O00057,C0073,2026-01-23 06:48:07,RETURNED,AS
O00058,C0136,2025-12-28 03:13:20,DELIVERED,SA
O00059,C0177,2026-05-08 22:02:40,RETURNED,NA
O00060,UNKNOWN,2026-04-09 00:00:00,SHIPPED,NA
O00061,C0408,2025-09-01 00:39:22,DELIVERED,AF
O00062,C0434,2026-05-04 08:07:59,PLACED,AF
O00063,C0157,2025-09-02 18:33:29,DELIVERED,AF
O00064,C0160,2026-01-15 03:59:39,DELIVERED,OC
O00065,C0068,2026-02-14 14:29:23,DELIVERED,EU
O00066,C0089,2025-09-27 07:58:37,SHIPPED,AF
O00067,C0317,2026-01-17 20:40:00,DELIVERED,EU
O00068,C0141,2025-12-12 22:06:35,SHIPPED,AS
O00069,C0266,2026-03-22 16:52:03,SHIPPED,AS
O00070,C0121,2026-02-19 06:39:34,PLACED,SA
O00071,C0066,2025-09-26 13:14:58,RETURNED,OC
O00072,C0467,2026-02-15 07:55:58,PLACED,AF
O00073,C0162,2026-03-08 14:58:41,SHIPPED,AF
O00074,C0119,2026-04-24 02:23:31,DELIVERED,NA
O00075,C0013,2026-01-31 23:48:54,DELIVERED,SA
O00076,C0184,2025-10-16 00:38:57,DELIVERED,AF
O00077,C0430,2025-10-14 12:00:43,SHIPPED,OC
O00078,C0080,2025-08-09 05:14:31,SHIPPED,OC
O00079,C0184,2025-10-23 19:10:03,DELIVERED,NA
O00080,C0071,2026-05-10 01:30:37,DELIVERED,AS
