product_id,product_name,category,subcategory,cost_price
P0001,Reduce Detail Kitchen,Home,Kitchen,390.66
P0002,Material Improve Laptops,Electronics,Laptops,100.98
P0003,Responsibility Forget Kitchen,Home,Kitchen,410.38
P0004,Would Future Women,Clothing,Women,90.88
P0005,Cold Professional Men,Clothing,Men,387.56
P0006,Should And Comics,Books,Comics,381.14
P0007,Size Write Educational,Books,Educational,315.47
P0008,Often Near Shoes,Clothing,Shoes,154.9
P0009,Can Environment Furniture,Home,Furniture,41.72
P0010,Medical Pull Comics,Books,Comics,147.1
P0011,Fire Decide Accessories,Electronics,Accessories,279.39
P0012,Herself Very Accessories,Electronics,Accessories,287.97
P0013,Area Treat Kids,Clothing,Kids,253.18
P0014,Reflect Discover Accessories,Electronics,Accessories,484.01
P0015,Budget Eat Non-Fiction,Books,Non-Fiction,469.31
P0016,Property Leader Bedding,Home,Bedding,167.6
P0017,Garden Administration Men,Clothing,Men,214.59
P0018,Computer Study Furniture,Home,Furniture,94.23
P0019,Fact Pattern Kids,Clothing,Kids,245.7
P0020,Call Individual Women,Clothing,Women,151.42
P0021,Strategy Eight Laptops,Electronics,Laptops,438.81
P0022,Act And Shoes,Clothing,Shoes,94.52
P0023,Party Step Shoes,Clothing,Shoes,361.19
P0024,Rock May Educational,Books,Educational,392.98
P0025,Rise Pick Women,Clothing,Women,405.27
P0026,Clear Hot Non-Fiction,Books,Non-Fiction,473.83
P0027,Spend Behind Comics,Books,Comics,390.17
P0028,Energy Coach Non-Fiction,Books,Non-Fiction,401.62
P0029,Money Benefit Kids,Clothing,Kids,188.75
P0030,Rich Present Laptops,Electronics,Laptops,382.74
P0031,Ground Word Bedding,Home,Bedding,77.94
P0032,Song Process Fiction,Books,Fiction,114.91
P0033,As As Educational,Books,Educational,210.37
P0034,Heart Quite Educational,Books,Educational,497.29
P0035,Class Science Decor,Home,Decor,154.07
P0036,Not Strong Smartphones,Electronics,Smartphones,397.98
P0037,Both Car Fiction,Books,Fiction,26.55
P0038,Method Early Educational,Books,Educational,13.04
P0039,Free Open Audio,Electronics,Audio,330.27
P0040,Story Quite Audio,Electronics,Audio,172.58
P0041,Something Hand Shoes,Clothing,Shoes,241.87
P0042,Support Wait Women,Clothing,Women,140.24
P0043,Leg Significant Bedding,Home,Bedding,372.94
P0044,Data Against Educational,Books,Educational,250.62
P0045,Risk Huge Educational,Books,Educational,262.04
P0046,Help Shake Accessories,Electronics,Accessories,258.98
P0047,Center Enough Men,Clothing,Men,202.03
P0048,Way Among Decor,Home,Decor,17.83
P0049,Memory Seat Shoes,Clothing,Shoes,457.2
P0050,Left Operation Audio,Electronics,Audio,353.5
P0051,Financial Occur Kids,Clothing,Kids,499.32
P0052,Same Might Men,Clothing,Men,90.46
P0053,Customer Our Fiction,Books,Fiction,483.94
P0054,Culture Of Kitchen,Home,Kitchen,277.25
P0055,Happen Game Kitchen,Home,Kitchen,357.35
P0056,Sign Management Kids,Clothing,Kids,65.07
P0057,Face Trip Women,Clothing,Women,249.54
P0058,Theory Place Kitchen,Home,Kitchen,491.59
P0059,Who Traditional Men,Clothing,Men,359.88
P0060,Once College Comics,Books,Comics,412.55
P0061,Authority Nice Smartphones,Electronics,Smartphones,322.96
P0062,Clear Listen Comics,Books,Comics,175.53
P0063,Find Ten Women,Clothing,Women,455.8
P0064,Everyone Number Laptops,Electronics,Laptops,155.54
P0065,Hit Long Kids,Clothing,Kids,116.61
P0066,A Stand Furniture,Home,Furniture,319.35
P0067,Pull Move Decor,Home,Decor,309.14
P0068,Hundred Similar Smartphones,Electronics,Smartphones,292.42
P0069,Crime Use Kids,Clothing,Kids,283.99
P0070,After President Laptops,Electronics,Laptops,431.44
P0071,Tough Himself Kitchen,Home,Kitchen,69.73
P0072,Stand Pressure Furniture,Home,Furniture,235.9
P0073,Edge Full Bedding,Home,Bedding,52.92
P0074,Set At Bedding,Home,Bedding,211.98
P0075,Reason Nothing Kids,Clothing,Kids,361.96
P0076,Tell Impact Women,Clothing,Women,259.79
P0077,Customer Need Educational,Books,Educational,49.57
P0078,Result Modern Comics,Books,Comics,111.5
P0079,Space Ok Furniture,Home,Furniture,441.76
P0080,Class Position Educational,Books,Educational,424.35
P0081,Fear Future Non-Fiction,Books,Non-Fiction,365.12
P0082,It Put Educational,Books,Educational,283.1
P0083,Fund Bring Kitchen,Home,Kitchen,78.73
P0084,Big Necessary Kids,Clothing,Kids,162.67
P0085,Reason Audience Educational,Books,Educational,256.12
P0086,Animal Thing Educational,Books,Educational,13.24
P0087,Writer Carry Furniture,Home,Furniture,293.93
P0088,Could Tv Accessories,Electronics,Accessories,329.52
P0089,Almost Defense Men,Clothing,Men,89.4
P0090,Both Mention Non-Fiction,Books,Non-Fiction,124.89
P0091,Dark Bit Smartphones,Electronics,Smartphones,79.96
P0092,Almost Own Shoes,Clothing,Shoes,307.68
P0093,Quality Think Fiction,Books,Fiction,261.75
P0094,Important Really Bedding,Home,Bedding,160.31
P0095,Might Never Shoes,Clothing,Shoes,174.45
P0096,Price Science Kitchen,Home,Kitchen,100.17
P0097,Performance Establish Kids,Clothing,Kids,116.31
P0098,Appear Hit Kitchen,Home,Kitchen,346.67
P0099,Do Police Educational,Books,Educational,282.44
P0100,Serious Avoid Kitchen,Home,Kitchen,336.57
P0101,Add Wonder Women,Clothing,Women,360.09
P0102,Will Detail Smartphones,Electronics,Smartphones,286.14
P0103,Reality Million Audio,Electronics,Audio,494.6
P0104,Without Voice Non-Fiction,Books,Non-Fiction,236.67
P0105,There Base Men,Clothing,Men,366.9
P0106,Management Suddenly Decor,Home,Decor,151.04
P0107,Purpose Ask Women,Clothing,Women,321.17
P0108,Herself Open Comics,Books,Comics,47.94
P0109,Six Writer Smartphones,Electronics,Smartphones,241.34
P0110,Voice Just Men,Clothing,Men,121.58
P0111,Term Home Kitchen,Home,Kitchen,362.83
P0112,Study Section Audio,Electronics,Audio,347.92
P0113,Article Than Laptops,Electronics,Laptops,84.06
P0114,Practice Exactly Furniture,Home,Furniture,470.61
P0115,Newspaper Amount Decor,Home,Decor,71.12
P0116,Similar Avoid Shoes,Clothing,Shoes,304.84
P0117,They Fly Comics,Books,Comics,401.99
P0118,Bank You Women,Clothing,Women,299.93
P0119,Direction Natural Accessories,Electronics,Accessories,184.08
P0120,Bill Blood Laptops,Electronics,Laptops,451.93
P0121,Share During Women,Clothing,Women,427.97
P0122,Night Image Fiction,Books,Fiction,359.87
P0123,Customer Data Fiction,Books,Fiction,225.51
P0124,Never Realize Accessories,Electronics,Accessories,284.14
P0125,Energy Over Educational,Books,Educational,200.99
P0126,Process Yourself Smartphones,Electronics,Smartphones,27.42
P0127,Country Open Furniture,Home,Furniture,34.83
P0128,So Open Accessories,Electronics,Accessories,385.64
P0129,Just Skin Educational,Books,Educational,194.33
P0130,Born Space Comics,Books,Comics,81.79
P0131,Pull Part Men,Clothing,Men,272.18
P0132,Help Represent Smartphones,Electronics,Smartphones,148.19
P0133,Low Scientist Kitchen,Home,Kitchen,438.75
P0134,Reduce Late Shoes,Clothing,Shoes,35.17
P0135,Use Body Shoes,Clothing,Shoes,28.21
P0136,Compare Structure Bedding,Home,Bedding,162.77
P0137,Couple Oil Comics,Books,Comics,378.44
P0138,Interest Mother Non-Fiction,Books,Non-Fiction,153.86
P0139,Green Really Shoes,Clothing,Shoes,283.38
P0140,Coach None Non-Fiction,Books,Non-Fiction,131.22
P0141,Plan Level Furniture,Home,Furniture,424.33
